x	f_szereg(x)	f_œciœle(x)	liczba_wyrazów	warunek_stopu
0,0000	0,00000000	0,00000000	2	dok³adnoœæ
10,0000	40,66027569	11013,23287470	1000	limit M
20,0000	142,64110278	242582597,70489514	1000	limit M
30,0000	305,94248125	5343237290762,23144531	1000	limit M
40,0000	530,56441110	117692633418510000,00000000	1000	limit M
50,0000	816,50689235	2592352764293536022528,00000000	1000	limit M
60,0000	1163,76992498	57100369490784211727024128,00000000	1000	limit M
70,0000	1572,35350901	1257719335459583439894665494528,00000000	1000	limit M
80,0000	2042,25764442	27703111921967549172259015817691136,00000000	1000	limit M
90,0000	2573,48233121	610201647158920417091447150764596658176,00000000	1000	limit M
100,0000	3166,02756940	13440585709080678047126700217981451777343488,00000000	1000	limit M
110,0000	3819,89335897	296048601383233496808508215060290824712763736064,00000000	1000	limit M
120,0000	4535,07969994	6520904391968161280678304831413727731915757241499648,00000000	1000	limit M
130,0000	5311,58659229	143632477540891605288893751300593010529887988280218091520,00000000	1000	limit M
140,0000	6149,41403603	3163715853577792534571631761083164399648092924242417745395712,00000000	1000	limit M
150,0000	7048,56203115	69685479033318984514693906469418509399191154628802999332682858496,00000000	1000	limit M
160,0000	8009,03057767	1534924820322121211490125965942273759412785180264163652976871265533952,00000000	1000	limit M
170,0000	9030,81967557	33808969052425045591112384893201594978263381933994317485819512141067059200,00000000	1000	limit M
180,0000	10113,92932486	744692100390919148529781948394166858221345522376264385313889540325861591351296,00000000	1000	limit M
190,0000	11258,35952554	16402935076923352356501851911247646213246825033294495869406766346562592083896434688,00000000	1000	limit M
200,0000	12464,11027760	361298688406287447936182099119457259649839255735402633528056948719124725107533331562496,00000000	1000	limit M
210,0000	13731,18158106	7958133201889620602532675545242153297451987736662682647491825722722693988445145553285677056,00000000	1000	limit M
220,0000	15059,57343590	175289548761937385349357179802471268922007560806910403073237224341759022832395074971996755329024,00000000	1000	limit M
230,0000	16449,28584213	3861009249991918063765404811441061443937347157352404074373454063423300269441952673992050368908886016,00000000	1000	limit M
240,0000	17900,31879975	85044388178379306040063817112454310239212523040884808077041041852253674236482019829112185336145643569152,00000000	1000	limit M
250,0000	19412,67230875	1873227307251336696773848240283601646890882105610260521756063656832967348075473365292870207808932043670159360,00000000	1000	limit M
260,0000	20986,34636915	41260577209069454073244414171691958321157453745641705426468019435530674700787568076390353698208102496643818979328,00000000	1000	limit M
270,0000	22621,34098093	908824692569549934840589454450598846168481197619166560967383744593883571086280437213512118541613451890774086227329024,00000000	1000	limit M
280,0000	24317,65614410	20018196004358923479040824859739862727161528390768736754761875706530960281954843897565833733340358641274220621397072281600,00000000	1000	limit M
